applied_id	work_id	title	creator	source_id	source_item_id	evidence_id	source_type	evidence_type	evidence_strength	reviewer_status	source_debt_status_before	source_debt_status_after	action_lane_after	resolution_status	next_action	rationale
x081_external_source_rescue_0001	work_candidate_completion_lit_women_algiers_apartment	Women of Algiers in Their Apartment	Assia Djebar	x081_uva_women_algiers	x081_item_uva_women_algiers	x081_ev_uva_women_algiers	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	University of Virginia Press and Publishers Weekly both support Women of Algiers in Their Apartment as Djebar's six-story-and-postface collection in English translation; the existing local source items are only excerpts/components and are not sufficient by themselves.
x081_external_source_rescue_0002	work_candidate_completion_lit_women_algiers_apartment	Women of Algiers in Their Apartment	Assia Djebar	x081_pw_women_algiers	x081_item_pw_women_algiers	x081_ev_pw_women_algiers	prize_or_reception_layer	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	University of Virginia Press and Publishers Weekly both support Women of Algiers in Their Apartment as Djebar's six-story-and-postface collection in English translation; the existing local source items are only excerpts/components and are not sufficient by themselves.
x081_external_source_rescue_0003	work_candidate_wave004_bunin_dark_avenues	Dark Avenues	Ivan Bunin	x081_bloomsbury_bunin_dark_avenues	x081_item_bloomsbury_bunin_dark_avenues	x081_ev_bloomsbury_bunin_dark_avenues	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Bloomsbury/Alma and Britannica independently identify Dark Avenues as Bunin's late short-story collection and a major twentieth-century Russian emigre work.
x081_external_source_rescue_0004	work_candidate_wave004_bunin_dark_avenues	Dark Avenues	Ivan Bunin	x081_britannica_bunin_dark_avenues	x081_item_britannica_bunin_dark_avenues	x081_ev_britannica_bunin_dark_avenues	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Bloomsbury/Alma and Britannica independently identify Dark Avenues as Bunin's late short-story collection and a major twentieth-century Russian emigre work.
x081_external_source_rescue_0005	work_candidate_wave004_miguel_hernandez_el_rayo_que_no_cesa	El rayo que no cesa	Miguel Hernandez	x081_cervantes_el_rayo	x081_item_cervantes_el_rayo	x081_ev_cervantes_el_rayo	language_literary_history	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Biblioteca Virtual Miguel de Cervantes gives the text record and Britannica identifies El rayo que no cesa as Hernandez's best work, mostly a collection of sonnets.
x081_external_source_rescue_0006	work_candidate_wave004_miguel_hernandez_el_rayo_que_no_cesa	El rayo que no cesa	Miguel Hernandez	x081_britannica_hernandez_el_rayo	x081_item_britannica_hernandez_el_rayo	x081_ev_britannica_hernandez_el_rayo	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Biblioteca Virtual Miguel de Cervantes gives the text record and Britannica identifies El rayo que no cesa as Hernandez's best work, mostly a collection of sonnets.
x081_external_source_rescue_0007	work_candidate_indig_lit_coyote_stories_mourning_dove	Coyote Stories	Mourning Dove	x081_nebraska_coyote_stories	x081_item_nebraska_coyote_stories	x081_ev_nebraska_coyote_stories	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	University of Nebraska Press and Encyclopedia.com both support Coyote Stories as Mourning Dove's collected Coyote narratives, with Nebraska giving the Bison Books scholarly reprint context and Encyclopedia.com confirming the 1933 work in the author bibliography.
x081_external_source_rescue_0008	work_candidate_indig_lit_coyote_stories_mourning_dove	Coyote Stories	Mourning Dove	x081_encyclopedia_mourning_dove_coyote	x081_item_encyclopedia_mourning_dove_coyote	x081_ev_encyclopedia_mourning_dove_coyote	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	University of Nebraska Press and Encyclopedia.com both support Coyote Stories as Mourning Dove's collected Coyote narratives, with Nebraska giving the Bison Books scholarly reprint context and Encyclopedia.com confirming the 1933 work in the author bibliography.
x081_external_source_rescue_0009	work_candidate_euro_under_lit_winters_tales	Winter's Tales	Karen Blixen	x081_prh_winters_tales	x081_item_prh_winters_tales	x081_ev_prh_winters_tales	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Penguin Random House and Britannica both identify Winter's Tales as Isak Dinesen/Karen Blixen's 1942 short-story collection; the creator alias should remain visible in later display cleanup.
x081_external_source_rescue_0010	work_candidate_euro_under_lit_winters_tales	Winter's Tales	Karen Blixen	x081_britannica_winters_tales	x081_item_britannica_winters_tales	x081_ev_britannica_winters_tales	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Penguin Random House and Britannica both identify Winter's Tales as Isak Dinesen/Karen Blixen's 1942 short-story collection; the creator alias should remain visible in later display cleanup.
