applied_id	work_id	title	creator	source_id	source_item_id	evidence_id	source_type	evidence_type	evidence_strength	reviewer_status	source_debt_status_before	source_debt_status_after	action_lane_after	resolution_status	next_action	rationale
x073_external_source_rescue_0001	work_candidate_bloom_pindar_odes	Odes	Pindar	x073_britannica_pindar_reference	x073_item_britannica_pindar_reference	x073_ev_britannica_pindar_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference support confirms Pindar's extant victory odes as the current-path reading scope.
x073_external_source_rescue_0002	work_candidate_bloom_pindar_odes	Odes	Pindar	x073_poetry_foundation_pindar_reference	x073_item_poetry_foundation_pindar_reference	x073_ev_poetry_foundation_pindar_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference support confirms Pindar's extant victory odes as the current-path reading scope.
x073_external_source_rescue_0003	work_candidate_bloom_pindar_odes	Odes	Pindar	x073_ucpress_pindar_odes_reference	x073_item_ucpress_pindar_odes_reference	x073_ev_ucpress_pindar_odes_reference	publisher_reference_series	inclusion	weak	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference support confirms Pindar's extant victory odes as the current-path reading scope.
x073_external_source_rescue_0004	work_candidate_bloom_reviewed_callimachus_hymns	Hymns and Epigrams	Callimachus	x073_britannica_callimachus_hymns_epigrams_reference	x073_item_britannica_callimachus_hymns_epigrams_reference	x073_ev_britannica_callimachus_hymns_epigrams_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and Loeb edition support the exact current title scope.
x073_external_source_rescue_0005	work_candidate_bloom_reviewed_callimachus_hymns	Hymns and Epigrams	Callimachus	x073_britannica_callimachus_hymns_work_reference	x073_item_britannica_callimachus_hymns_work_reference	x073_ev_britannica_callimachus_hymns_work_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and Loeb edition support the exact current title scope.
x073_external_source_rescue_0006	work_candidate_bloom_reviewed_callimachus_hymns	Hymns and Epigrams	Callimachus	x073_loeb_callimachus_hymns_epigrams_reference	x073_item_loeb_callimachus_hymns_epigrams_reference	x073_ev_loeb_callimachus_hymns_epigrams_reference	scholarly_edition_series	inclusion	weak	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and Loeb edition support the exact current title scope.
x073_external_source_rescue_0007	work_candidate_bloom_martial_epigrams	Epigrams	Martial	x073_britannica_martial_epigrams_reference	x073_item_britannica_martial_epigrams_reference	x073_ev_britannica_martial_epigrams_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference support confirms the twelve-book Epigrams as Martial's canonical reading scope.
x073_external_source_rescue_0008	work_candidate_bloom_martial_epigrams	Epigrams	Martial	x073_poetry_foundation_martial_reference	x073_item_poetry_foundation_martial_reference	x073_ev_poetry_foundation_martial_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference support confirms the twelve-book Epigrams as Martial's canonical reading scope.
x073_external_source_rescue_0009	work_candidate_bloom_martial_epigrams	Epigrams	Martial	x073_penguin_martial_epigrams_reference	x073_item_penguin_martial_epigrams_reference	x073_ev_penguin_martial_epigrams_reference	publisher_reference_series	inclusion	weak	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference support confirms the twelve-book Epigrams as Martial's canonical reading scope.
x073_external_source_rescue_0010	work_candidate_eastasia_lit_han_shan_poems	Cold Mountain Poems	Hanshan	x073_columbia_cold_mountain_reference	x073_item_columbia_cold_mountain_reference	x073_ev_columbia_cold_mountain_reference	publisher_reference_series	inclusion	weak	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External publisher and reception support confirm the Cold Mountain / Han-shan poem corpus as the current selection scope.
x073_external_source_rescue_0011	work_candidate_eastasia_lit_han_shan_poems	Cold Mountain Poems	Hanshan	x073_poetry_foundation_cold_mountain_review	x073_item_poetry_foundation_cold_mountain_review	x073_ev_poetry_foundation_cold_mountain_review	prize_or_reception_layer	inclusion	weak	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External publisher and reception support confirm the Cold Mountain / Han-shan poem corpus as the current selection scope.
x073_external_source_rescue_0012	work_candidate_completion_lit_count_lucanor	Count Lucanor	Don Juan Manuel	x073_britannica_count_lucanor_reference	x073_item_britannica_count_lucanor_reference	x073_ev_britannica_count_lucanor_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and academy-edition support confirm the titled medieval Spanish prose collection.
x073_external_source_rescue_0013	work_candidate_completion_lit_count_lucanor	Count Lucanor	Don Juan Manuel	x073_rae_count_lucanor_reference	x073_item_rae_count_lucanor_reference	x073_ev_rae_count_lucanor_reference	scholarly_edition_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and academy-edition support confirm the titled medieval Spanish prose collection.
x073_external_source_rescue_0014	work_candidate_bloom_cervantes_exemplary_stories	Exemplary Stories	Miguel de Cervantes	x073_britannica_exemplary_stories_reference	x073_item_britannica_exemplary_stories_reference	x073_ev_britannica_exemplary_stories_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and institutional edition support confirm Cervantes's 1613 Novelas ejemplares / Exemplary Stories.
x073_external_source_rescue_0015	work_candidate_bloom_cervantes_exemplary_stories	Exemplary Stories	Miguel de Cervantes	x073_britannica_cervantes_biography_exemplary_stories	x073_item_britannica_cervantes_biography_exemplary_stories	x073_ev_britannica_cervantes_biography_exemplary_stories	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and institutional edition support confirm Cervantes's 1613 Novelas ejemplares / Exemplary Stories.
x073_external_source_rescue_0016	work_candidate_bloom_cervantes_exemplary_stories	Exemplary Stories	Miguel de Cervantes	x073_rae_novelas_ejemplares_reference	x073_item_rae_novelas_ejemplares_reference	x073_ev_rae_novelas_ejemplares_reference	scholarly_edition_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and institutional edition support confirm Cervantes's 1613 Novelas ejemplares / Exemplary Stories.
x073_external_source_rescue_0017	work_candidate_mandatory_burns_poems_chiefly	Poems, Chiefly in the Scottish Dialect	Robert Burns	x073_britannica_burns_poems_chiefly_work_reference	x073_item_britannica_burns_poems_chiefly_work_reference	x073_ev_britannica_burns_poems_chiefly_work_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and poetry-history support confirm Burns's 1786 Kilmarnock volume as the exact work scope.
x073_external_source_rescue_0018	work_candidate_mandatory_burns_poems_chiefly	Poems, Chiefly in the Scottish Dialect	Robert Burns	x073_britannica_burns_biography_reference	x073_item_britannica_burns_biography_reference	x073_ev_britannica_burns_biography_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and poetry-history support confirm Burns's 1786 Kilmarnock volume as the exact work scope.
x073_external_source_rescue_0019	work_candidate_mandatory_burns_poems_chiefly	Poems, Chiefly in the Scottish Dialect	Robert Burns	x073_poetry_foundation_burns_reference	x073_item_poetry_foundation_burns_reference	x073_ev_poetry_foundation_burns_reference	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	External reference and poetry-history support confirm Burns's 1786 Kilmarnock volume as the exact work scope.
