path_id	work_id	path_name	selected	rank	selection_status	replacement_transaction_id	notes
quick_path_3000	work_candidate_pyramid_texts	global_literature_canon_quick_path	true	1	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_instructions_of_ptahhotep	global_literature_canon_quick_path	true	2	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_scale4_lit_enheduanna_hymns	global_literature_canon_quick_path	true	3	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_me_lit_exaltation_inanna	global_literature_canon_quick_path	true	4	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_canon_epic_of_gilgamesh	global_literature_canon_quick_path	true	5	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_me_lit_lament_ur	global_literature_canon_quick_path	true	6	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_coffin_texts	global_literature_canon_quick_path	true	7	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_scale4_lit_shipwrecked_sailor	global_literature_canon_quick_path	true	8	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_mandatory_eloquent_peasant	global_literature_canon_quick_path	true	9	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_tale_of_sinuhe	global_literature_canon_quick_path	true	10	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_atrahasis	global_literature_canon_quick_path	true	11	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_debate_between_man_and_soul	global_literature_canon_quick_path	true	12	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_canon_rig_veda	global_literature_canon_quick_path	true	13	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_enuma_elish	global_literature_canon_quick_path	true	14	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_me_lit_adapa	global_literature_canon_quick_path	true	15	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_anzu_myth	global_literature_canon_quick_path	true	16	incumbent_selected	""	Wave 005 incumbent path
quick_path_3000	work_candidate_me_lit_enmerkar_aratta	global_literature_canon_quick_path	true	17	incumbent_selected	""	Wave 005 incumbent path
