applied_id	work_id	title	creator	source_id	source_item_id	evidence_id	source_type	evidence_type	evidence_strength	reviewer_status	source_debt_status_before	source_debt_status_after	action_lane_after	resolution_status	next_action	rationale
x080_external_source_rescue_0001	work_candidate_latcarib_lit_tradiciones_peruanas	Tradiciones peruanas	Ricardo Palma	x080_britannica_tradiciones_peruanas	x080_item_britannica_tradiciones_peruanas	x080_ev_britannica_tradiciones_peruanas	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and Encyclopedia.com both identify Ricardo Palma's Tradiciones peruanas as his central literary work and as a major Peruvian/Latin American short-prose tradition.
x080_external_source_rescue_0002	work_candidate_latcarib_lit_tradiciones_peruanas	Tradiciones peruanas	Ricardo Palma	x080_encyclopedia_palma_tradiciones	x080_item_encyclopedia_palma_tradiciones	x080_ev_encyclopedia_palma_tradiciones	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and Encyclopedia.com both identify Ricardo Palma's Tradiciones peruanas as his central literary work and as a major Peruvian/Latin American short-prose tradition.
x080_external_source_rescue_0003	work_candidate_scale2_lit_sonnets_to_orpheus	Sonnets to Orpheus	Rainer Maria Rilke	x080_macmillan_sonnets_orpheus	x080_item_macmillan_sonnets_orpheus	x080_ev_macmillan_sonnets_orpheus	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Macmillan and Wesleyan University Press both confirm Sonnets to Orpheus as Rilke's late sonnet sequence and treat it as a major work rather than the unrelated source items currently attached to this row.
x080_external_source_rescue_0004	work_candidate_scale2_lit_sonnets_to_orpheus	Sonnets to Orpheus	Rainer Maria Rilke	x080_wesleyan_sonnets_orpheus	x080_item_wesleyan_sonnets_orpheus	x080_ev_wesleyan_sonnets_orpheus	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Macmillan and Wesleyan University Press both confirm Sonnets to Orpheus as Rilke's late sonnet sequence and treat it as a major work rather than the unrelated source items currently attached to this row.
x080_external_source_rescue_0005	work_candidate_latcarib_lit_vampire_curitiba	The Vampire of Curitiba	Dalton Trevisan	x080_britannica_vampire_curitiba	x080_item_britannica_vampire_curitiba	x080_ev_britannica_vampire_curitiba	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and Encyclopedia.com both identify O vampiro de Curitiba / The Vampire of Curitiba and Other Stories as a central Dalton Trevisan collection; title normalization should still decide whether the display title needs the English subtitle.
x080_external_source_rescue_0006	work_candidate_latcarib_lit_vampire_curitiba	The Vampire of Curitiba	Dalton Trevisan	x080_encyclopedia_trevisan_vampire	x080_item_encyclopedia_trevisan_vampire	x080_ev_encyclopedia_trevisan_vampire	reference_encyclopedia	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Britannica and Encyclopedia.com both identify O vampiro de Curitiba / The Vampire of Curitiba and Other Stories as a central Dalton Trevisan collection; title normalization should still decide whether the display title needs the English subtitle.
x080_external_source_rescue_0007	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0869_when_i_sleep_then_i_see_clearly_selected_poems_o	When I Sleep, Then I See Clearly: Selected Poems of J V Foix	J V Foix	x080_google_books_foix_when_i_sleep	x080_item_google_books_foix_when_i_sleep	x080_ev_google_books_foix_when_i_sleep	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Google Books and EBSCO both confirm When I Sleep, Then I See Clearly: Selected Poems of J. V. Foix as David Rosenthal's 1988 Persea selected-poems edition.
x080_external_source_rescue_0008	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0869_when_i_sleep_then_i_see_clearly_selected_poems_o	When I Sleep, Then I See Clearly: Selected Poems of J V Foix	J V Foix	x080_ebsco_catalan_poetry_foix	x080_item_ebsco_catalan_poetry_foix	x080_ev_ebsco_catalan_poetry_foix	language_literary_history	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Google Books and EBSCO both confirm When I Sleep, Then I See Clearly: Selected Poems of J. V. Foix as David Rosenthal's 1988 Persea selected-poems edition.
x080_external_source_rescue_0009	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_1003_transparence_of_the_world_poems	Transparence of the World: Poems	Jean Follain	x080_copper_follain_transparence	x080_item_copper_follain_transparence	x080_ev_copper_follain_transparence	publisher_reference_series	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Copper Canyon Press and Publishers Weekly confirm Transparence of the World as a W. S. Merwin-selected and translated Jean Follain poetry volume.
x080_external_source_rescue_0010	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_1003_transparence_of_the_world_poems	Transparence of the World: Poems	Jean Follain	x080_pw_follain_transparence	x080_item_pw_follain_transparence	x080_ev_pw_follain_transparence	prize_or_reception_layer	inclusion	moderate	accepted	open_no_evidence	closed_by_independent_external_support	""	source_debt_closed_after_external_support	review_cut_side_scoring_after_refresh	Copper Canyon Press and Publishers Weekly confirm Transparence of the World as a W. S. Merwin-selected and translated Jean Follain poetry volume.
